pid,s1_dwgt,s1_best_age_yrs,s1_age_intervals,s1_best_dob_m,s1_best_dob_y,s1_best_race,s1_best_gen,s1_empl,s1_locklevnat,s1_geo2011,s1_dc2011,s1_mdbdc2011,s1_prov2011,s1_intrv_c,s1_intrv_gen,s1_intrv_race,s1_intrv_dob_y,s1_intrv_lng1,s1_intrv_lng2,s1_intrv_lng3,s1_intrv_lng4,s1_intrv_lng5,s1_intrv_edu,s1_intrv_position,s1_intrv_years_exp_oth
"103955,21127.6369865175,30,1,11,1991,1,1,1,1,2,199,""CPT"",1,850,2,1,1990,4,11,6,10,,27,2,1"
"103972,11147.64027906139,32,1,2,1989,1,1,1,1,2,599,""ETH"",5,889,2,1,1991,6,11,5,3,,12,2,8"
"104008,13573.03167971448,32,1,10,1989,2,1,1,1,2,199,""CPT"",1,824,2,2,1973,10,11,,,,12,2,10"
"104022,12219.73367048528,25,1,2,1996,1,1,1,1,-9,-9,""-9"",7,826,2,1,1993,4,11,3,5,6,27,2,1"
"104028,16110.94029587878,47,2,6,1974,1,1,1,1,2,559,""DC29"",5,892,2,1,1999,9,11,3,7,8,26,2,0"
"104039,2660.117456831792,29,1,1,1992,4,2,1,1,2,199,""CPT"",1,873,1,1,1997,1,11,3,,,12,2,0"
"104066,10585.80772136787,62,4,4,1959,1,2,0,1,1,527,""DC27"",5,801,2,1,1988,2,3,11,,,11,2,1"
"104080,5746.152248238099,-8,-8,-8,-8,1,1,0,1,-8,-8,""-8"",-8,829,1,1,1998,6,11,,,,12,2,0"
"104113,528.8745634459545,41,2,6,1980,1,2,0,1,1,935,""DC35"",9,812,2,1,1999,6,11,,,,12,2,0"
"104141,8767.770560405741,55,3,8,1966,2,1,1,1,2,199,""CPT"",1,831,1,1,1993,4,11,,,,12,2,2"
"104142,130.5352415252341,62,4,7,1959,1,2,0,1,-9,-9,""-9"",6,817,2,1,1984,4,11,,,,11,2,0"
"104143,5854.495231348619,64,4,6,1957,1,1,1,1,2,798,""JHB"",7,884,1,1,1986,2,3,11,,,12,2,14"
"104166,510.6254065476577,28,1,4,1993,1,1,1,1,-9,-9,""-9"",7,809,1,2,1983,10,11,,,,12,2,2"
"104210,6583.585280169884,30,1,12,1991,1,1,-8,1,2,499,""MAN"",4,804,1,1,1996,6,4,3,11,,12,2,2"
